FlowName,FlowMin,FlowMax,FlowShortageCostFactor,FlowExcessCostFactor
HR,42000,50000,10000,1000
Stainless,0,9000,10000,1000
HRP,3000,4000,10000,1000
CRFH,400,500,10000,1000
CR_Exposed,400,500,10000,1000
GI_Exposed,400,500,10000,1000
GA_Exposed,400,500,10000,1000
GI_1,5000,6000,10000,1000
GI_3,5500,6500,10000,1000
GI_4,2000,2500,10000,1000
GI_34,0,200,10000,1000
GI_3+GI34,5500,9500,10000,1000
GA_1,4100,5500,10000,1000
GA_3,5800,6500,10000,1000
CR,4000,5000,10000,1000
AL_NonUsibor,4000,5000,10000,1000
AL_Usibor,0,1000,10000,1000
