Round_ID;Works_Order_No;Yard_Location;HSM_LPST;HSM_PSD;SO_Due_Date;Sales_Ord_No;Prod_Grp;Slab_Grade;Customer_Name;Sort_Grade;Slab_Weight;Expedite_Level;CULPST;Round_Type;Flow;Furnace_Group;Internal_Order;Galv_Options;SelectionCost
HM-ALL;0000698292;InnerBay;3/20/2018;6/15/2018;4/2/2018;1503810010;CR;PCX06;ArcelorMittal Burns Harbor;6;21340;;4/1/2018;???;CR;;;2;-79.5
HM-ALL;0000698293;InnerBay;3/20/2018;6/15/2018;4/2/2018;1503810010;CR;PCX06;ArcelorMittal Burns Harbor;6;21160;;4/1/2018;???;CR;;;2;-79.5
HM-ALL;0000698295;InnerBay;3/20/2018;6/15/2018;4/2/2018;1503810010;CR;PCX06;ArcelorMittal Burns Harbor;6;21060;;4/1/2018;???;CR;;;2;-79.5
HM-ALL;0000698296;InnerBay;3/20/2018;6/15/2018;4/2/2018;1502930010;CR;PCX06;ArcelorMittal Burns Harbor;6;21160;;4/1/2018;???;CR;;;2;-79.5
HM-ALL;0000698299;InnerBay;3/20/2018;6/15/2018;4/2/2018;1502930010;CR;PCX06;ArcelorMittal Burns Harbor;6;20760;;4/1/2018;???;CR;;;2;-79.5
HM-ALL;0000698300;InnerBay;3/20/2018;6/15/2018;4/2/2018;1502920010;CR;PCX06;ArcelorMittal Burns Harbor;6;20980;;4/1/2018;???;CR;;;2;-79.5
HM-ALL;0000698304;InnerBay;3/20/2018;6/15/2018;4/2/2018;1502920010;CR;PCX06;ArcelorMittal Burns Harbor;6;21300;;4/1/2018;???;CR;;;2;-79.5
HM-ALL;0000698308;InnerBay;3/20/2018;6/15/2018;4/2/2018;1502920010;CR;PCX06;ArcelorMittal Burns Harbor;6;21000;;4/1/2018;???;CR;;;2;-79.5
HM-ALL;0000774638;InnerBay;12/5/2018;6/24/2018;4/16/2018;1507160010;HR;M3A81_SR;AM/NS Calvert Internal Slab Rollings;7;20790;;4/12/2018;IF;HR;;1;;0.3521
HM-ALL;0000774639;InnerBay;12/5/2018;6/24/2018;4/23/2018;1507170010;HR;M3A81_SR;AM/NS Calvert Internal Slab Rollings;7;20710;;4/19/2018;IF;HR;;1;;0.3521
HM-ALL;0000774646;InnerBay;12/5/2018;6/24/2018;4/23/2018;1507170010;HR;M3A81_SR;AM/NS Calvert Internal Slab Rollings;7;20430;;4/19/2018;IF;HR;;1;;0.3521
HM-ALL;0000774653;InnerBay;12/5/2018;6/24/2018;4/23/2018;1507170010;HR;M3A81_SR;AM/NS Calvert Internal Slab Rollings;7;20400;;4/19/2018;IF;HR;;1;;0.3521
HM-ALL;0000774656;InnerBay;12/5/2018;6/24/2018;4/23/2018;1507170010;HR;M3A81_SR;AM/NS Calvert Internal Slab Rollings;7;21040;;4/19/2018;IF;HR;;1;;0.3521
HM-ALL;0000788330;InnerBay;12/5/2018;6/24/2018;2/19/2018;1467190020;HR;M6R78_SR;AM/NS Calvert Internal Slab Rollings;7;38853;;2/15/2018;Heavy;HR;;1;;0.3521
HM-ALL;0000809417;InnerBay;12/5/2018;6/24/2018;2/19/2018;1467190050;HR;M6R70_SR;AM/NS Calvert Internal Slab Rollings;7;39392;;2/15/2018;Heavy;HR;;1;;0.3521
HM-ALL;0000830654;InnerBay;6/10/2018;6/21/2018;6/18/2018;1490080010;HRP;33AX2;ThyssenKrupp Steel Services - Auto;6;21220;;6/17/2018;Light HSLA;HRP;;;;0.1503
HM-ALL;0000830675;InnerBay;6/10/2018;6/21/2018;6/18/2018;1490080010;HRP;33AX2;ThyssenKrupp Steel Services - Auto;6;21220;;6/17/2018;Light HSLA;HRP;;;;0.1503
HM-ALL;0000832116;InnerBay;12/5/2018;6/24/2018;3/26/2018;1509540010;HR;M6R70_SR;AM/NS Calvert Internal Slab Rollings;7;35539;;3/22/2018;Intermediate HSLA;HR;;1;;0.3521
HM-ALL;0000832117;InnerBay;12/5/2018;6/24/2018;3/26/2018;1509540010;HR;M6R70_SR;AM/NS Calvert Internal Slab Rollings;7;35539;;3/22/2018;Intermediate HSLA;HR;;1;;0.3521
HM-ALL;0000832814;InnerBay;6/10/2018;6/17/2018;7/2/2018;1502360010;GI;M4R15_SR;Coilplus Alabama - Auto;4;20680;;6/22/2018;Intermediate HSLA;GI_1;;;1;0.1503
HM-ALL;0000835070;InnerBay;5/3/2018;6/12/2018;5/7/2018;1520110010;HR;M6R05;C D Waelzholz GmbH;6;17960;;5/3/2018;???;HR;;;;-35.5
HM-ALL;0000841761;InnerBay;6/10/2018;6/23/2018;6/18/2018;30004019020001;HRP;33AX2;General Motors Corporation;6;21578;;6/17/2018;Light HSLA;HRP;;;;0.1503
HM-ALL;0000842826;InnerBay;6/24/2018;6/29/2018;7/2/2018;30004019020002;HRP;33AX2;General Motors Corporation;6;21563;;7/1/2018;Light HSLA;HRP;;;;0.8636
HM-ALL;0000842980;InnerBay;6/24/2018;6/29/2018;7/2/2018;30004019020002;HRP;33AX2;General Motors Corporation;6;21520;;7/1/2018;Light HSLA;HRP;;;;0.8636
HM-ALL;0000843468;InnerBay;6/24/2018;7/1/2018;7/2/2018;30004541010001;HRP;33AX2;General Motors de Mexico;6;21578;;7/1/2018;Light HSLA;HRP;;;;0.8636
